team_no,A_RLG,B_RLG,RLG,A_pretest,A_posttest,B_pretest,B_posttest
6,-0.2,0.0,-0.1,0.5,0.4,0.6,0.6
7,0.0,0.285714,0.142857,0.7,0.7,0.3,0.5
8,0.2,-0.375,-0.0875,0.5,0.6,0.8,0.5
9,0.2,0.25,0.225,0.5,0.6,0.6,0.7
10,0.333333,0.4,0.366667,0.4,0.6,0.5,0.7
11,0.333333,0.4,0.366667,0.7,0.8,0.5,0.7
12,0.0,0.5,0.25,0.5,0.5,0.6,0.8
14,0.0,-0.285714,-0.142857,0.6,0.6,0.7,0.5
15,0.333333,-0.375,-0.020833,0.4,0.6,0.8,0.5
16,0.0,0.2,0.1,0.6,0.6,0.5,0.6
17,0.166667,0.333333,0.25,0.4,0.5,0.4,0.6
18,-0.75,-0.375,-0.5625,0.4,0.1,0.8,0.5
19,0.0,-0.166667,-0.083333,0.7,0.7,0.6,0.5
20,-0.375,-0.666667,-0.520833,0.8,0.5,0.3,0.1
21,0.0,0.2,0.1,0.6,0.6,0.5,0.6
22,0.2,-0.2,0.0,0.5,0.6,0.5,0.4
23,0.166667,0.166667,0.166667,0.4,0.5,0.4,0.5
25,0.0,1.0,0.5,0.8,0.8,0.7,1.0
26,-0.125,0.2,0.0375,0.8,0.7,0.5,0.6
27,0.333333,0.0,0.166667,0.4,0.6,0.5,0.5
28,0.0,0.0,0.0,1.0,1.0,0.6,0.6
29,0.25,-0.285714,-0.017857,0.6,0.7,0.7,0.5
30,0.25,0.0,0.125,0.6,0.7,0.7,0.7
31,-0.1,0.0,-0.05,1.0,0.9,0.5,0.5
32,0.75,0.0,0.375,0.6,0.9,0.6,0.6
33,-0.166667,-0.125,-0.145833,0.6,0.5,0.8,0.7
34,0.2,0.6,0.4,0.5,0.6,0.5,0.8
35,0.0,0.0,0.0,0.6,0.6,0.6,0.6
36,0.2,0.0,0.1,0.5,0.6,0.4,0.4
37,-0.222222,0.0,-0.111111,0.9,0.7,0.5,0.5
38,0.2,-0.166667,0.016667,0.5,0.6,0.6,0.5
39,-0.25,0.0,-0.125,0.8,0.6,0.8,0.8
40,0.0,0.0,0.0,0.3,0.3,0.4,0.4
41,0.0,0.0,0.0,0.6,0.6,0.6,0.6
42,-0.166667,0.0,-0.083333,0.6,0.5,0.5,0.5
44,-0.4,0.5,0.05,0.5,0.3,0.6,0.8
45,0.333333,0.166667,0.25,0.7,0.8,0.4,0.5
46,-0.166667,0.333333,0.083333,0.6,0.5,0.4,0.6
47,-0.111111,-0.142857,-0.126984,0.9,0.8,0.7,0.6
