,1
num_task,39
sum_last_error,7.772727272727272
mean_last_error,0.19930069930069927
std_last_error,0.1590448958118293
amax_last_error,0.5
amin_last_error,0.0
sum_max_error,27.090909090909086
mean_max_error,0.6946386946386945
std_max_error,0.5663797948216764
amax_max_error,1.9090909090909092
amin_max_error,0.045454545454545456
sum_min_error,4.409090909090908
mean_min_error,0.11305361305361303
std_min_error,0.0960687659637673
amax_min_error,0.36363636363636365
amin_min_error,0.0
sum_range_error,22.681818181818183
mean_range_error,0.5815850815850816
std_range_error,0.5524058149031265
amax_range_error,1.9090909090909092
amin_range_error,0.0
sum_avg_error,13.177116659335912
mean_avg_error,0.33787478613681826
std_avg_error,0.23181245019745522
amax_avg_error,1.0227272727272727
amin_avg_error,0.045454545454545456
sum_std_error,7.760607131207091
mean_std_error,0.19898992644120744
std_std_error,0.18453878450180425
amax_std_error,0.7443157722221773
amin_std_error,0.0
sum_noninc_error,13
mean_noninc_error,0.3333333333333333
std_noninc_error,0.47756693294091934
amax_noninc_error,True
amin_noninc_error,False
sum_slope_error,-259.03556580359486
mean_slope_error,-6.641937584707561
std_slope_error,9.91685070514061
amax_slope_error,33.00000000000001
amin_slope_error,-22.0
num_success,8
freq_success,0.20512820512820512
std_success,0.4090738692453055
amax_success,True
amin_success,False
sum_num_attempt,280
mean_num_attempt,7.17948717948718
std_num_attempt,3.824242579785157
amax_num_attempt,19
amin_num_attempt,2
sum_avg_turn,306.7181039720514
mean_avg_turn,7.864566768514138
std_avg_turn,3.2766585795547902
amax_avg_turn,19.0
amin_avg_turn,2.8333333333333335
sum_avg_action_per_turn,185.14378928403312
mean_avg_action_per_turn,4.747276648308541
std_avg_action_per_turn,1.3921995331623758
amax_avg_action_per_turn,7.823529411764706
amin_avg_action_per_turn,2.935064935064935
sum_num_turn,1910
mean_num_turn,48.97435897435897
std_num_turn,17.993401099594934
amax_num_turn,98
amin_num_turn,24
sum_num_action,8757
mean_num_action,224.53846153846155
std_num_action,83.48080338864112
amax_num_action,420
amin_num_action,100
sum_duration,57337.197000000015
mean_duration,1470.1845384615388
std_duration,291.74876901177595
amax_duration,2152.799
amin_duration,669.7909999999999
sum_num_edit,3816
mean_num_edit,97.84615384615384
std_num_edit,37.021713729234534
amax_num_edit,206
amin_num_edit,49
sum_freq_add,30.986179979142378
mean_freq_add,0.7945174353626251
std_freq_add,0.10833830236394924
amax_freq_add,0.9829545454545454
amin_freq_add,0.5737704918032787
sum_freq_histload,11.766077900550068
mean_freq_histload,0.30169430514230944
std_freq_histload,0.5239090249013375
amax_freq_histload,2.8
amin_freq_histload,0.0
sum_num_submitselect,155
mean_num_submitselect,3.9743589743589745
std_num_submitselect,9.565527964318925
amax_num_submitselect,59
amin_num_submitselect,0
sum_num_histview,833
mean_num_histview,21.358974358974358
std_num_histview,15.282406774298174
amax_num_histview,77
amin_num_histview,4
sum_num_help,394
mean_num_help,10.102564102564102
std_num_help,17.68852567685568
amax_num_help,110
amin_num_help,0
