ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
justhink19_dialogue_28_tsv	334.0	1817.0	194.0	0.10676940011007155	0.5553109521188773	0.4556213017751479	1.6552339794981914	1.7746806039488967	6.0
justhink19_dialogue_08_tsv	624.0	3464.0	420.0	0.12124711316397228	0.6053695150115473	0.4620253164556962	1.73405916564457	1.8803021499128414	6.0
justhink19_dialogue_07_tsv	608.0	3287.0	384.0	0.11682385153635534	0.6023729844843322	0.46779661016949153	1.7998725991386837	1.894736842105263	6.0
justhink19_dialogue_11_tsv	540.0	3092.0	371.0	0.11998706338939198	0.5866752910737387	0.5	1.718430576339493	1.853020134228188	5.0
justhink19_dialogue_47_tsv	355.0	2331.0	223.0	0.09566709566709566	0.5396825396825397	0.35944700460829493	1.8508866362475211	1.8782358581016299	7.0
justhink19_dialogue_18_tsv	331.0	1446.0	149.0	0.10304287690179806	0.5553250345781466	0.532258064516129	1.6316553159245997	1.7018030513176143	6.0
justhink19_dialogue_09_tsv	773.0	4536.0	533.0	0.11750440917107584	0.6064814814814815	0.4797507788161994	1.8534080411866374	2.00839222614841	8.0
justhink19_dialogue_20_tsv	494.0	2533.0	287.0	0.11330438215554678	0.5669166995657323	0.42402826855123676	1.6332234166177237	1.7399328859060403	7.0
justhink19_dialogue_10_tsv	431.0	2149.0	226.0	0.10516519311307584	0.5979525360632852	0.4349775784753363	1.56694398225455	1.6612903225806452	7.0
justhink19_dialogue_17_tsv	297.0	1762.0	149.0	0.08456299659477866	0.4931895573212259	0.33727810650887574	1.9304152407194926	2.0084745762711864	6.0
